2024-7-3 19:33:52-log: Cannot access game frame or container.
2024-7-3 19:33:52-debug: asset-db:require-engine-code (525ms)
2024-7-3 19:33:52-log: meshopt wasm decoder initialized
2024-7-3 19:33:53-log: [box2d]:box2d wasm lib loaded.
2024-7-3 19:33:53-log: [bullet]:bullet wasm lib loaded.
2024-7-3 19:33:53-log: Cocos Creator v3.8.3
2024-7-3 19:33:53-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:26.93MB, end 114.33MB, increase: 87.39MB
2024-7-3 19:33:54-debug: [Assets Memory track]: asset-db-plugin-register: builder start:82.07MB, end 181.59MB, increase: 99.52MB
2024-7-3 19:33:54-debug: [Assets Memory track]: asset-db-plugin-register: project start:115.19MB, end 177.21MB, increase: 62.02MB
2024-7-3 19:33:54-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:114.33MB, end 177.22MB, increase: 62.89MB
2024-7-3 19:33:54-debug: run package(vivo-mini-game) handler(enable) start
2024-7-3 19:33:54-debug: run package(web-desktop) handler(enable) success!
2024-7-3 19:33:54-debug: run package(web-mobile) handler(enable) success!
2024-7-3 19:33:54-debug: run package(wechatgame) handler(enable) start
2024-7-3 19:33:54-debug: run package(web-mobile) handler(enable) start
2024-7-3 19:33:54-debug: run package(web-desktop) handler(enable) start
2024-7-3 19:33:54-debug: run package(wechatprogram) handler(enable) success!
2024-7-3 19:33:54-debug: run package(wechatgame) handler(enable) success!
2024-7-3 19:33:54-debug: run package(windows) handler(enable) start
2024-7-3 19:33:54-debug: run package(xiaomi-quick-game) handler(enable) success!
2024-7-3 19:33:54-debug: run package(xiaomi-quick-game) handler(enable) start
2024-7-3 19:33:54-debug: run package(vivo-mini-game) handler(enable) success!
2024-7-3 19:33:54-debug: run package(cocos-service) handler(enable) success!
2024-7-3 19:33:54-debug: run package(im-plugin) handler(enable) start
2024-7-3 19:33:54-debug: run package(im-plugin) handler(enable) success!
2024-7-3 19:33:54-debug: run package(blank-template) handler(enable) start
2024-7-3 19:33:54-debug: run package(blank-template) handler(enable) success!
2024-7-3 19:33:54-debug: run package(placeholder) handler(enable) start
2024-7-3 19:33:54-debug: run package(wechatprogram) handler(enable) start
2024-7-3 19:33:54-debug: run package(cocos-service) handler(enable) start
2024-7-3 19:33:54-debug: run package(placeholder) handler(enable) success!
2024-7-3 19:33:54-debug: run package(windows) handler(enable) success!
2024-7-3 19:33:54-debug: asset-db:worker-init: initPlugin (1506ms)
2024-7-3 19:33:54-debug: [Assets Memory track]: asset-db:worker-init start:26.93MB, end 177.97MB, increase: 151.04MB
2024-7-3 19:33:54-debug: Run asset db hook programming:beforePreStart ...
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunksbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default-terrainbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_cubemapbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_file_contentbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_fontsbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: Run asset db hook engine-extends:beforePreStart success!
2024-7-3 19:33:54-debug: Run asset db hook engine-extends:beforePreStart ...
2024-7-3 19:33:54-debug: Run asset db hook programming:beforePreStart success!
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_materialsbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_uibackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_renderpipelinebackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_skyboxbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_prefabbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/dependenciesbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/gizmobackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/physicsbackground: #aaff85; color: #000;color: #000;
2024-7-3 19:33:54-debug: %cImport%c: /Applications/Cocos/Creator/3.8.3/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/toolsbackground: #aaff85; color: #000;color: #000;
